FSC,DSEC,PTE,IVP,RBU,EMC_Final,label,model
0.3200303914592488,1.0,0.68018603,0.05393942752897705,1.0,0.13444597876824632,0.0,llama-3.1-8b-instant
0.3456687479445296,1.0,0.5878127,0.04642788576413659,1.0,0.13075713971372177,0.0,qwen/qwen3-32b
0.2642099683874103,1.0,0.8180435,0.06762033678775539,1.0,0.14583155499559647,0.0,meta-llama/llama-4-scout-17b-16e-instruct
0.3188838742570245,1.0,0.6718807,0.05292442698571238,1.0,0.1369121158564067,0.0,llama-3.1-8b-instant
0.33901606942184076,1.0,0.642707,0.05149101714557389,1.0,0.13348806209662314,0.0,qwen/qwen3-32b
0.37099641111535436,1.0,0.7061269,0.07676587219911918,1.0,0.187344935327368,0.0,meta-llama/llama-4-scout-17b-16e-instruct
0.3774809903870497,1.0,0.65471756,0.060524902023848144,1.0,0.15548132150899505,0.0,llama-3.1-8b-instant
0.3884880916586786,1.0,0.7332132,0.07853222640682886,1.0,0.18453296222255208,0.0,qwen/qwen3-32b
0.38528484339107405,0.99999994,0.6519779,0.06967036469065976,0.9999999,0.1804236828089325,0.0,meta-llama/llama-4-scout-17b-16e-instruct
0.27869339248149333,1.0,0.63909125,0.04062971574139992,1.0,0.11121912004685826,0.0,llama-3.1-8b-instant
0.3222695317008491,1.0,0.7061455,0.05767229674064992,1.0,0.1453207450836671,0.0,qwen/qwen3-32b
0.32871531304662754,1.0,0.65800315,0.05194414620950703,1.0,0.1366778790057754,0.0,meta-llama/llama-4-scout-17b-16e-instruct
0.3301652858506296,1.0,0.6337545,0.05039238789252165,1.0,0.1371424133884122,0.0,llama-3.1-8b-instant
0.3524473668278345,1.0,0.5901155,0.049585840476302025,1.0,0.1364529380743037,0.0,qwen/qwen3-32b
0.3569784908908359,1.0,0.6064117,0.05013057609526739,1.0,0.13459522506879865,0.0,meta-llama/llama-4-scout-17b-16e-instruct
0.3176914461934352,0.9999953,0.64143336,0.07364938578670621,0.07034033,0.014601441202733626,0.0,llama-3.1-8b-instant
0.3291127909921113,1.0,0.7082495,0.058956687624299065,1.0,0.1464817063221665,0.0,qwen/qwen3-32b
0.32187498811957266,1.0,0.6833749,0.051518862233026576,1.0,0.13394351013425426,0.0,meta-llama/llama-4-scout-17b-16e-instruct
0.3316127828068043,1.0,0.7423445,0.06686001899819338,1.0,0.15863769910484454,0.0,llama-3.1-8b-instant
0.2912805748819093,1.0,0.6805595,0.047777855979699094,1.0,0.12175832653172523,0.0,qwen/qwen3-32b
0.3094918233025612,1.0,0.73606527,0.057734206284782465,1.0,0.13963673061906595,0.0,meta-llama/llama-4-scout-17b-16e-instruct
0.36504208068880145,1.0,0.74206436,0.07712753996407719,1.0,0.18378075830946963,0.0,llama-3.1-8b-instant
0.30480142041847524,1.0,0.66321385,0.04733435424315547,1.0,0.12383966281836611,0.0,qwen/qwen3-32b
0.26864602833680523,1.0,0.7022984,0.045913126756303976,1.0,0.11496687984528638,0.0,meta-llama/llama-4-scout-17b-16e-instruct
0.33430700480083947,1.0,0.6270622,0.049694644229188685,1.0,0.1355331217158093,0.0,llama-3.1-8b-instant
0.3542349169478272,1.0,0.73383117,0.07332613873111955,1.0,0.17311771431603185,0.0,qwen/qwen3-32b
0.36803974517926935,1.0,0.752854,0.07804551025175861,1.0,0.1753426171688264,0.0,meta-llama/llama-4-scout-17b-16e-instruct
