label,score,model
1.0,0.9633456367814165,meta-llama/llama-4-scout-17b-16e-instruct
1.0,0.6985190976181752,llama-3.1-8b-instant
1.0,0.3526063658963719,qwen/qwen3-32b
1.0,0.42404924297212093,meta-llama/llama-4-scout-17b-16e-instruct
1.0,0.4626884152841617,llama-3.1-8b-instant
1.0,0.531029467249906,qwen/qwen3-32b
1.0,0.8051703914789086,meta-llama/llama-4-scout-17b-16e-instruct
1.0,0.792983785459019,llama-3.1-8b-instant
1.0,0.2341782739051414,qwen/qwen3-32b
1.0,0.799791142591509,meta-llama/llama-4-scout-17b-16e-instruct
1.0,0.7656984409399842,llama-3.1-8b-instant
1.0,0.28346735107081883,qwen/qwen3-32b
1.0,0.9835368738309279,meta-llama/llama-4-scout-17b-16e-instruct
0.0,0.3298362746507127,llama-3.1-8b-instant
0.0,0.2921399264037697,qwen/qwen3-32b
0.0,0.7566007721279259,meta-llama/llama-4-scout-17b-16e-instruct
